DateTime;P_Load;Q_Load
2024/05/19 06:15;2,56;0,832
2024/05/19 06:20;2,624;0,864
2024/05/19 06:25;2,528;0,832
2024/05/19 06:30;2,592;0,864
2024/05/19 06:35;2,656;0,864
2024/05/19 06:40;2,56;0,832
2024/05/19 06:45;2,496;0,8
2024/05/19 06:50;2,688;0,896
2024/05/19 06:55;2,56;0,832
2024/05/19 07:00;2,592;0,864
2024/05/19 07:05;2,528;0,832
2024/05/19 07:10;2,624;0,864
2024/05/19 07:15;2,56;0,832
2024/05/19 07:20;2,72;0,896
2024/05/19 07:25;2,528;0,832
2024/05/19 07:30;2,592;0,864
2024/05/19 07:35;2,56;0,832
2024/05/19 07:40;2,656;0,864
2024/05/19 07:45;2,496;0,8
2024/05/19 07:50;2,592;0,864
2024/05/19 07:55;2,56;0,832
2024/05/19 08:00;2,624;0,864
2024/05/19 08:05;2,528;0,832
2024/05/19 08:10;2,688;0,896
2024/05/19 08:15;2,56;0,832
2024/05/19 08:20;2,592;0,864
2024/05/19 08:25;2,656;0,864
2024/05/19 08:30;2,528;0,832
2024/05/19 08:35;2,56;0,832
2024/05/19 08:40;2,624;0,864
2024/05/19 08:45;2,592;0,864
2024/05/19 08:50;2,496;0,8
2024/05/19 08:55;2,656;0,864
2024/05/19 09:00;2,56;0,832
2024/05/19 09:05;2,624;0,864
2024/05/19 09:10;2,592;0,864
2024/05/19 09:15;2,528;0,832
2024/05/19 09:20;2,56;0,832
2024/05/19 09:25;2,624;0,864
2024/05/19 09:30;10,24;3,36
2024/05/19 09:35;18,56;6,08
2024/05/19 09:40;17,44;5,696
2024/05/19 09:45;20,16;6,592
2024/05/19 09:50;18,24;5,952
2024/05/19 09:55;19,68;6,432
2024/05/19 10:00;16,96;5,536
2024/05/19 10:05;20,48;6,72
2024/05/19 10:10;18,72;6,112
2024/05/19 10:15;17,92;5,856
2024/05/19 10:20;20;6,56
2024/05/19 10:25;18,88;6,176
2024/05/19 10:30;17,12;5,6
2024/05/19 10:35;20,8;6,816
2024/05/19 10:40;18,4;6,016
2024/05/19 10:45;19,36;6,336
2024/05/19 10:50;17,28;5,664
2024/05/19 10:55;20,32;6,656
2024/05/19 11:00;18,56;6,08
2024/05/19 11:05;17,76;5,824
2024/05/19 11:10;19,84;6,496
2024/05/19 11:15;19,04;6,24
2024/05/19 11:20;16,8;5,504
2024/05/19 11:25;20,64;6,752
2024/05/19 11:30;18,24;5,952
2024/05/19 11:35;19,52;6,4
2024/05/19 11:40;17,6;5,76
2024/05/19 11:45;20,16;6,592
2024/05/19 11:50;18,72;6,112
2024/05/19 11:55;18,08;5,92
2024/05/19 12:00;19,84;6,496
2024/05/19 12:05;17,28;5,664
2024/05/19 12:10;20,96;6,848
2024/05/19 12:15;18,4;6,016
2024/05/19 12:20;19,2;6,272
2024/05/19 12:25;16,96;5,536
2024/05/19 12:30;20,32;6,656
2024/05/19 12:35;18,88;6,176
2024/05/19 12:40;17,92;5,856
2024/05/19 12:45;20;6,56
2024/05/19 12:50;17,44;5,696
2024/05/19 12:55;20,48;6,72
2024/05/19 13:00;18,56;6,08
2024/05/19 13:05;19,52;6,4
2024/05/19 13:10;17,12;5,6
2024/05/19 13:15;20,16;6,592
2024/05/19 13:20;18,24;5,952
2024/05/19 13:25;19,04;6,24
2024/05/19 13:30;17,6;5,76
2024/05/19 13:35;19,84;6,496
2024/05/19 13:40;18,72;6,112
2024/05/19 13:45;17,28;5,664
2024/05/19 13:50;19,68;6,432
2024/05/19 13:55;11,2;3,68
2024/05/19 14:00;2,72;0,896
2024/05/19 14:05;2,56;0,832
2024/05/19 14:10;2,624;0,864
2024/05/19 14:15;2,528;0,832
2024/05/19 14:20;2,592;0,864
2024/05/19 14:25;2,656;0,864
2024/05/19 14:30;2,56;0,832
2024/05/19 14:35;2,496;0,8
2024/05/19 14:40;2,624;0,864
2024/05/19 14:45;2,56;0,832
2024/05/19 14:50;2,592;0,864
2024/05/19 14:55;8,96;2,944
2024/05/19 15:00;18,56;6,08
2024/05/19 15:05;17,12;5,6
2024/05/19 15:10;20,48;6,72
2024/05/19 15:15;18,24;5,952
2024/05/19 15:20;19,68;6,432
2024/05/19 15:25;17,44;5,696
2024/05/19 15:30;20,16;6,592
2024/05/19 15:35;18,72;6,112
2024/05/19 15:40;17,92;5,856
2024/05/19 15:45;20;6,56
2024/05/19 15:50;18,88;6,176
2024/05/19 15:55;16,96;5,536
2024/05/19 16:00;20,8;6,816
2024/05/19 16:05;18,4;6,016
2024/05/19 16:10;19,36;6,336
2024/05/19 16:15;17,28;5,664
2024/05/19 16:20;20,32;6,656
2024/05/19 16:25;18,56;6,08
2024/05/19 16:30;17,76;5,824
2024/05/19 16:35;19,84;6,496
2024/05/19 16:40;19,04;6,24
2024/05/19 16:45;16,8;5,504
2024/05/19 16:50;20,64;6,752
2024/05/19 16:55;18,24;5,952
2024/05/19 17:00;19,52;6,4
2024/05/19 17:05;17,6;5,76
2024/05/19 17:10;20,16;6,592
2024/05/19 17:15;18,72;6,112
2024/05/19 17:20;18,08;5,92
2024/05/19 17:25;19,84;6,496
2024/05/19 17:30;17,28;8,664
2024/05/19 17:35;20,96;10,848
2024/05/19 17:40;18,4;6,016
2024/05/19 17:45;19,2;6,272
2024/05/19 17:50;16,96;5,536
2024/05/19 17:55;20,32;6,656
2024/05/19 18:00;18,88;6,176
2024/05/19 18:05;17,92;5,856
2024/05/19 18:10;20;6,56
2024/05/19 18:15;17,44;5,696
2024/05/19 18:20;20,48;6,72
2024/05/19 18:25;18,56;6,08
2024/05/19 18:30;19,52;6,4
2024/05/19 18:35;17,12;5,6
2024/05/19 18:40;20,16;6,592
2024/05/19 18:45;18,24;5,952
2024/05/19 18:50;19,04;6,24
2024/05/19 18:55;17,6;5,76
2024/05/19 19:00;19,84;6,496
2024/05/19 19:05;18,72;6,112
2024/05/19 19:10;17,28;5,664
2024/05/19 19:15;19,68;6,432
2024/05/19 19:20;18,4;6,016
2024/05/19 19:25;16,96;5,536
2024/05/19 19:30;8,96;2,944
2024/05/19 19:35;1,92;0,608
2024/05/19 19:40;1,76;0,576
2024/05/19 19:45;1,6;0,512
2024/05/19 19:50;1,44;0,48
2024/05/19 19:55;1,28;0,416
2024/05/19 20:00;1,12;0,352
2024/05/19 20:05;0,96;0,32
2024/05/19 20:10;0,8;0,256
2024/05/19 20:15;0,64;0,192
2024/05/19 20:20;0,48;0,16
2024/05/19 20:25;0,32;0,096
