DateTime;P_Load;Q_Load
2024/05/19 06:15;0,08;0,026
2024/05/19 06:20;0,084;0,028
2024/05/19 06:25;0,088;0,029
2024/05/19 06:30;0,092;0,03
2024/05/19 06:35;0,096;0,032
2024/05/19 06:40;0,1;0,033
2024/05/19 06:45;0,103;0,034
2024/05/19 06:50;0,107;0,035
2024/05/19 06:55;0,111;0,036
2024/05/19 07:00;0,115;0,038
2024/05/19 07:05;0,119;0,039
2024/05/19 07:10;0,123;0,04
2024/05/19 07:15;0,127;0,042
2024/05/19 07:20;0,131;0,043
2024/05/19 07:25;0,135;0,044
2024/05/19 07:30;0,139;0,046
2024/05/19 07:35;0,143;0,047
2024/05/19 07:40;0,147;0,048
2024/05/19 07:45;0,15;0,049
2024/05/19 07:50;0,154;0,051
2024/05/19 07:55;0,158;0,052
2024/05/19 08:00;0,162;0,053
2024/05/19 08:05;0,166;0,055
2024/05/19 08:10;0,17;0,056
2024/05/19 08:15;0,174;0,057
2024/05/19 08:20;0,178;0,059
2024/05/19 08:25;0,182;0,06
2024/05/19 08:30;0,186;0,061
2024/05/19 08:35;0,19;0,062
2024/05/19 08:40;0,193;0,063
2024/05/19 08:45;0,197;0,065
2024/05/19 08:50;0,201;0,066
2024/05/19 08:55;0,205;0,067
2024/05/19 09:00;0,209;0,069
2024/05/19 09:05;0,213;0,07
2024/05/19 09:10;0,217;0,071
2024/05/19 09:15;0,221;0,073
2024/05/19 09:20;0,225;0,074
2024/05/19 09:25;0,229;0,075
2024/05/19 09:30;0,233;0,077
2024/05/19 09:35;0,237;0,078
2024/05/19 09:40;0,24;0,079
2024/05/19 09:45;0,244;0,08
2024/05/19 09:50;0,248;0,082
2024/05/19 09:55;0,252;0,083
2024/05/19 10:00;0,256;0,084
2024/05/19 10:05;0,26;0,085
2024/05/19 10:10;0,264;0,087
2024/05/19 10:15;0,268;0,088
2024/05/19 10:20;0,272;0,089
2024/05/19 10:25;0,276;0,091
2024/05/19 10:30;0,28;0,092
2024/05/19 10:35;0,283;0,093
2024/05/19 10:40;0,287;0,094
2024/05/19 10:45;0,291;0,096
2024/05/19 10:50;0,295;0,097
2024/05/19 10:55;0,299;0,098
2024/05/19 11:00;0,303;0,1
2024/05/19 11:05;0,307;0,101
2024/05/19 11:10;0,311;0,102
2024/05/19 11:15;0,315;0,104
2024/05/19 11:20;0,319;0,105
2024/05/19 11:25;0,323;0,106
2024/05/19 11:30;0,327;0,107
2024/05/19 11:35;0,33;0,108
2024/05/19 11:40;0,334;0,11
2024/05/19 11:45;0,338;0,111
2024/05/19 11:50;0,342;0,112
2024/05/19 11:55;0,346;0,114
2024/05/19 12:00;0,35;0,115
2024/05/19 12:05;0,352;0,116
2024/05/19 12:10;0,353;0,116
2024/05/19 12:15;0,355;0,117
2024/05/19 12:20;0,357;0,117
2024/05/19 12:25;0,358;0,118
2024/05/19 12:30;0,36;0,118
2024/05/19 12:35;0,362;0,119
2024/05/19 12:40;0,363;0,119
2024/05/19 12:45;0,365;0,12
2024/05/19 12:50;0,367;0,121
2024/05/19 12:55;0,368;0,121
2024/05/19 13:00;0,37;0,122
2024/05/19 13:05;0,372;0,122
2024/05/19 13:10;0,373;0,123
2024/05/19 13:15;0,375;0,123
2024/05/19 13:20;0,377;0,124
2024/05/19 13:25;0,378;0,124
2024/05/19 13:30;0,38;0,125
2024/05/19 13:35;0,382;0,126
2024/05/19 13:40;0,383;0,126
2024/05/19 13:45;0,385;0,127
2024/05/19 13:50;0,387;0,127
2024/05/19 13:55;0,388;0,128
2024/05/19 14:00;0,39;0,128
2024/05/19 14:05;0,392;0,129
2024/05/19 14:10;0,393;0,129
