Time,P (MW),Q (MVAr)
06:15,0.001,0
06:20,0.002,0
06:25,0.004,0
06:30,0.007,0
06:35,0.01,0
06:40,0.011,0
06:45,0.014,0
06:50,0.019,0
06:55,0.022,0
07:00,0.023,0
07:05,0.023,0
07:10,0.026,0
07:15,0.028,0
07:20,0.03,0
07:25,0.031,0
07:30,0.035,0
07:35,0.037,0
07:40,0.039,0
07:45,0.04,0
07:50,0.045,0
07:55,0.046,0
08:00,0.05,0
08:05,0.044,0
08:10,0.045,0
08:15,0.044,0
08:20,0.04,0
08:25,0.04,0
08:30,0.043,0
08:35,0.061,0
08:40,0.064,0
08:45,0.053,0
08:50,0.059,0
08:55,0.067,0
09:00,0.073,0
09:05,0.072,0
09:10,0.076,0
09:15,0.083,0
09:20,0.084,0
09:25,0.078,0
09:30,0.092,0
09:35,0.094,0
09:40,0.095,0
09:45,0.111,0
09:50,0.123,0
09:55,0.141,0
10:00,0.158,0
10:05,0.186,0
10:10,0.208,0
10:15,0.224,0
10:20,0.216,0
10:25,0.221,0
10:30,0.226,0
10:35,0.26,0
10:40,0.291,0
10:45,0.313,0
10:50,0.337,0
10:55,0.333,0
11:00,0.34,0
11:05,0.347,0
11:10,0.334,0
11:15,0.32,0
11:20,0.308,0
11:25,0.319,0
11:30,0.361,0
11:35,0.349,0
11:40,0.356,0
11:45,0.396,0
11:50,0.42,0
11:55,0.412,0
12:00,0.434,0
12:05,0.427,0
12:10,0.404,0
12:15,0.405,0
12:20,0.409,0
12:25,0.416,0
12:30,0.425,0
12:35,0.446,0
12:40,0.434,0
12:45,0.43,0
12:50,0.429,0
12:55,0.429,0
13:00,0.429,0
13:05,0.454,0
13:10,0.446,0
13:15,0.434,0
13:20,0.445,0
13:25,0.44,0
13:30,0.435,0
13:35,0.429,0
13:40,0.424,0
13:45,0.423,0
13:50,0.423,0
13:55,0.423,0
14:00,0.422,0
14:05,0.424,0
14:10,0.425,0
14:15,0.426,0
14:20,0.426,0
14:25,0.423,0
14:30,0.419,0
14:35,0.414,0
14:40,0.41,0
14:45,0.405,0
14:50,0.4,0
14:55,0.394,0
15:00,0.39,0
15:05,0.382,0
15:10,0.378,0
15:15,0.376,0
15:20,0.371,0
15:25,0.359,0
15:30,0.351,0
15:35,0.331,0
15:40,0.328,0
15:45,0.318,0
15:50,0.307,0
15:55,0.3,0
16:00,0.28,0
16:05,0.272,0
16:10,0.254,0
16:15,0.228,0
16:20,0.198,0
16:25,0.185,0
16:30,0.174,0
16:35,0.162,0
16:40,0.151,0
16:45,0.139,0
16:50,0.137,0
16:55,0.135,0
17:00,0.133,0
17:05,0.131,0
17:10,0.129,0
17:15,0.127,0
17:20,0.124,0
17:25,0.122,0
17:30,0.12,0
17:35,0.117,0
17:40,0.115,0
17:45,0.113,0
17:50,0.11,0
17:55,0.11,0
18:00,0.138,0
18:05,0.104,0
18:10,0.101,0
18:15,0.117,0
18:20,0.096,0
18:25,0.094,0
18:30,0.096,0
18:35,0.107,0
18:40,0.104,0
18:45,0.111,0
18:50,0.089,0
18:55,0.093,0
19:00,0.091,0
19:05,0.079,0
19:10,0.079,0
19:15,0.072,0
19:20,0.06,0
19:25,0.057,0
19:30,0.053,0
19:35,0.049,0
19:40,0.045,0
19:45,0.042,0
19:50,0.038,0
19:55,0.033,0
20:00,0.033,0
20:05,0.025,0
20:10,0.02,0
20:15,0.013,0
20:20,0.008,0
20:25,0.005,0
20:30,0.002,0
