Time,P (MW),Q (MVAr)
06:15,0.001,0
06:20,0.003,0
06:25,0.006,0
06:30,0.01,0
06:35,0.014,0
06:40,0.015,0
06:45,0.019,0
06:50,0.025,0
06:55,0.029,0
07:00,0.031,0
07:05,0.031,0
07:10,0.035,0
07:15,0.038,0
07:20,0.04,0
07:25,0.042,0
07:30,0.047,0
07:35,0.05,0
07:40,0.052,0
07:45,0.054,0
07:50,0.06,0
07:55,0.062,0
08:00,0.068,0
08:05,0.059,0
08:10,0.06,0
08:15,0.059,0
08:20,0.054,0
08:25,0.054,0
08:30,0.058,0
08:35,0.081,0
08:40,0.086,0
08:45,0.071,0
08:50,0.079,0
08:55,0.09,0
09:00,0.098,0
09:05,0.097,0
09:10,0.102,0
09:15,0.11,0
09:20,0.112,0
09:25,0.103,0
09:30,0.123,0
09:35,0.125,0
09:40,0.126,0
09:45,0.148,0
09:50,0.163,0
09:55,0.186,0
10:00,0.208,0
10:05,0.244,0
10:10,0.273,0
10:15,0.291,0
10:20,0.281,0
10:25,0.287,0
10:30,0.293,0
10:35,0.336,0
10:40,0.374,0
10:45,0.402,0
10:50,0.431,0
10:55,0.425,0
11:00,0.431,0
11:05,0.438,0
11:10,0.423,0
11:15,0.407,0
11:20,0.391,0
11:25,0.405,0
11:30,0.456,0
11:35,0.441,0
11:40,0.449,0
11:45,0.502,0
11:50,0.543,0
11:55,0.522,0
12:00,0.557,0
12:05,0.547,0
12:10,0.503,0
12:15,0.502,0
12:20,0.509,0
12:25,0.522,0
12:30,0.54,0
12:35,0.574,0
12:40,0.554,0
12:45,0.545,0
12:50,0.543,0
12:55,0.536,0
13:00,0.533,0
13:05,0.579,0
13:10,0.566,0
13:15,0.545,0
13:20,0.564,0
13:25,0.556,0
13:30,0.546,0
13:35,0.534,0
13:40,0.521,0
13:45,0.519,0
13:50,0.521,0
13:55,0.522,0
14:00,0.52,0
14:05,0.529,0
14:10,0.536,0
14:15,0.534,0
14:20,0.536,0
14:25,0.532,0
14:30,0.527,0
14:35,0.522,0
14:40,0.516,0
14:45,0.51,0
14:50,0.503,0
14:55,0.496,0
15:00,0.489,0
15:05,0.482,0
15:10,0.475,0
15:15,0.47,0
15:20,0.463,0
15:25,0.452,0
15:30,0.442,0
15:35,0.419,0
15:40,0.414,0
15:45,0.399,0
15:50,0.385,0
15:55,0.376,0
16:00,0.351,0
16:05,0.341,0
16:10,0.319,0
16:15,0.286,0
16:20,0.248,0
16:25,0.233,0
16:30,0.219,0
16:35,0.205,0
16:40,0.191,0
16:45,0.176,0
16:50,0.174,0
16:55,0.172,0
17:00,0.169,0
17:05,0.167,0
17:10,0.164,0
17:15,0.161,0
17:20,0.158,0
17:25,0.155,0
17:30,0.152,0
17:35,0.149,0
17:40,0.147,0
17:45,0.144,0
17:50,0.141,0
17:55,0.14,0
18:00,0.174,0
18:05,0.132,0
18:10,0.129,0
18:15,0.148,0
18:20,0.122,0
18:25,0.119,0
18:30,0.122,0
18:35,0.136,0
18:40,0.132,0
18:45,0.14,0
18:50,0.114,0
18:55,0.118,0
19:00,0.116,0
19:05,0.101,0
19:10,0.101,0
19:15,0.092,0
19:20,0.077,0
19:25,0.073,0
19:30,0.068,0
19:35,0.063,0
19:40,0.058,0
19:45,0.054,0
19:50,0.049,0
19:55,0.043,0
20:00,0.043,0
20:05,0.032,0
20:10,0.025,0
20:15,0.017,0
20:20,0.011,0
20:25,0.007,0
20:30,0.003,0
